CountryName,ISO3digit,Continent
Aruba,ABW,South America
Afghanistan,AFG,Asia
Angola,AGO,Africa
Anguilla,AIA,North America
Albania,ALB,Europe
Andorra,AND,Europe
Neth. Antilles,ANT,North America
United Arab Emirates,ARE,Asia
Argentina,ARG,South America
Armenia,ARM,Europe
American Samoa,ASM,Oceania
Antarctica,ATA,Antarctica
Fr. South Antarctic Terr.,ATF,Antarctica
Antigua and Barbuda,ATG,North America
Australia,AUS,Australia
Austria,AUT,Europe
Azerbaijan,AZE,Asia
Burundi,BDI,Africa
Belgium,BEL,Europe
Benin,BEN,Africa
Burkina Faso,BFA,Africa
Bangladesh,BGD,Asia
Bulgaria,BGR,Europe
Bahrain,BHR,Asia
Bahamas,BHS,North America
Bosnia Herzegovina,BIH,Europe
Belarus,BLR,Europe
Belize,BLZ,North America
Bermuda,BMU,North America
Bolivia,BOL,South America
Brazil,BRA,South America
Barbados,BRB,North America
Brunei Darussalam,BRN,Asia
Bhutan,BTN,Asia
Bouvet Island,BVT,Antarctica
Botswana,BWA,Africa
Central African Rep.,CAF,Africa
Canada,CAN,North America
Cocos Isds,CCK,Australia
Switzerland,CHE,Europe
Chile,CHL,South America
China,CHN,Asia
Cote d'Ivoire,CIV,Africa
Cameroon,CMR,Africa
Dem. Rep. of the Congo,COD,Africa
Congo,COG,Africa
Cook Isds,COK,Oceania
Colombia,COL,South America
Comoros,COM,Africa
Cape Verde,CPV,Europe
Costa Rica,CRI,South America
Czechoslovakia,CSK,Europe
Cuba,CUB,North America
Curacao,CUW,South America
Christmas Isds,CXR,Asia
Cayman Isds,CYM,North America
Cyprus,CYP,Europe
Czech Rep.,CZE,Europe
Fmr Dem. Rep. of Germany,DDR,Europe
Fmr Fed. Rep. of Germany,DEU,Europe
Djibouti,DJI,Africa
Dominica,DMA,North America
Denmark,DNK,Europe
Dominican Rep.,DOM,North America
Algeria,DZA,Africa
Ecuador,ECU,South America
Egypt,EGY,Africa
Eritrea,ERI,Africa
Western Sahara,ESH,Africa
Spain,ESP,Europe
Estonia,EST,Europe
Ethiopia,ETH,Africa
EU-27,EU2,Europe
Finland,FIN,Europe
Fiji,FJI,Oceania
Falkland Isds (Malvinas),FLK,South America
France,FRA,Europe
Faeroe Isds,FRO,Europe
French St. Martin,MAF,South America
FS Micronesia,FSM,Oceania
Gabon,GAB,Africa
United Kingdom,GBR,Europe
Georgia,GEO,Asia
Ghana,GHA,Africa
Gibraltar,GIB,Europe
Guinea,GIN,Africa
Guadeloupe,GLP,North America
Guernsey,GGY,Europe
Gambia,GMB,Africa
Guinea-Bissau,GNB,Africa
Equatorial Guinea,GNQ,Africa
Greece,GRC,Europe
Grenada,GRD,North America
Greenland,GRL,North America
Guatemala,GTM,North America
French Guiana,GUF,South America
Guam,GUM,Asia
Guyana,GUY,South America
China Hong Kong SAR,HKG,Asia
Heard Island and McDonald Islands,HMD,Antarctica
Honduras,HND,North America
Croatia,HRV,Europe
Haiti,HTI,North America
Hungary,HUN,Europe
Indonesia,IDN,Asia
India,IND,Asia
Br. Indian Ocean Terr.,IOT,Asia
Ireland,IRL,Europe
Iran,IRN,Asia
Iraq,IRQ,Asia
Isle of Man,IMN,Europe
Iceland,ISL,Asia
Israel,ISR,Asia
Italy,ITA,Europe
Jamaica,JAM,North America
Jordan,JOR,Asia
Japan,JPN,Asia
Jersey,JEY,Europe
Kazakhstan,KAZ,Asia
Kenya,KEN,Africa
Kosovo,UNK,Europe
Kyrgyzstan,KGZ,Asia
Cambodia,KHM,Asia
Kiribati,KIR,Oceania
Saint Kitts and Nevis,KNA,North America
Rep. of Korea,KOR,Asia
Kuwait,KWT,Asia
Lao People's Dem. Rep.,LAO,Asia
