Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,36911.05412,35025.93695,33132.47722,33081.80088,35077.2103,35043.90134,35130.76468,35626.10906,35547.08563,31776.26986,30540.28268,31473.84202,30884.11632,31990.46392,32072.83588,31761.24438,31548.72069,31834.24533
Afghanistan,AFG,,,8287.686963,8595.409478,8335.981129,8920.070941,9099.375873,10076.00807,10211.66367,12081.58136,13433.59222,13079.70445,14272.83097,14580.72999,14508.71731,14292.37473,14227.63217,14247.50815
Angola,AGO,34168.4027,34468.50177,37864.80837,37645.72371,40302.56056,44731.1155,48148.48734,52971.84117,56825.2991,55305.0315,55958.55919,55870.61419,58522.53904,59290.63216,60021.12897,58545.71842,55146.46156,53270.58759
Albania,ALB,126694.1064,138490.6622,145212.9458,153817.6539,162972.6993,172867.5485,184225.3736,196723.1211,213106.3538,221734.6497,231105.5128,237637.1293,241409.9385,244271.1608,249110.0015,255382.8514,264360.4999,274752.743
Andorra,AND,23809.90977,24171.30723,24740.53877,26563.08928,27446.22528,28496.07567,29007.54405,28425.31113,25618.58313,24497.52551,23188.31484,22295.13677,22286.27579,22819.47814,23800.28527,24372.6767,25068.64559,25643.08452
United Arab Emirates,ARE,230755.1146,221946.3402,215601.4838,219862.6223,220506.4388,206390.935,198045.4278,177234.8901,160337.4747,136629.4791,128676.6608,131219.6345,133592.5261,138694.5951,143764.0966,149668.6476,152223.955,151296.6023
Argentina,ARG,12951.67587,12243.85203,10789.62763,11614.36456,12525.98836,13489.57363,14422.78598,15560.14554,16026.19795,14923.57172,16265.41541,17062.76644,16711.17541,16934.84662,16339.72293,16617.3258,16154.60106,16456.73975
Armenia,ARM,576459.0281,635468.6764,723236.4017,829182.3097,921228.5175,1055772.805,1204307.448,1381773.786,1489730.648,1287627.861,1321111.449,1384035.846,1480421.92,1523151.888,1571083.686,1615394.197,1614271.856,1732005.925
American Samoa,ASM,,,12548.73917,12568.29677,12604.61663,12584.99949,12156.86275,12555.48072,12414.51867,12058.26382,12240.05608,12346.34852,11823.28445,11481.36764,11562.67475,11685.90309,11367.11092,10747.47039
Antigua and Barbuda,ATG,28935.01243,27025.28379,26919.41739,28214.27899,29506.92706,31048.64003,34594.46398,37350.99304,36896.80361,32047.27639,29400.5584,28471.07019,29147.26944,28805.35917,29826.69818,30702.02504,32084.25478,32717.31277
Australia,AUS,54504.04636,54813.57853,56316.19121,57286.35765,58891.70981,59973.76782,60770.41632,62673.18366,63676.65606,63577.03638,63880.80838,64543.48482,65894.97026,66480.12902,67171.4982,67768.40523,68604.45538,68779.02728
